"hgnc_symbol","ensembl_gene_id","chromosome_name","start_position","end_position","entrezgene_id"
"ELOVL1","ENSG00000066322","1",43363398,43368074,64834
"LRRC40","ENSG00000066557","1",70144805,70205579,55631
"EVI5","ENSG00000067208","1",92508696,92792404,7813
"DNTTIP2","ENSG00000067334","1",93866284,93879918,30836
"PRKCZ","ENSG00000067606","1",2050411,2185395,5590
"KCNAB2","ENSG00000069424","1",5990927,6101193,8514
"TGFBR3","ENSG00000069702","1",91680343,91906335,7049
"TESK2","ENSG00000070759","1",45343883,45491163,10420
"EIF2B3","ENSG00000070785","1",44850522,44986722,8891
"CDC42","ENSG00000070831","1",22025511,22101360,998
"ENO1","ENSG00000074800","1",8861000,8879190,2023
"ARHGEF10L","ENSG00000074964","1",17539698,17697874,55160
"EIF4G3","ENSG00000075151","1",20806292,21176888,8672
"RAP1GAP","ENSG00000076864","1",21596215,21669363,5909
"USP33","ENSG00000077254","1",77695987,77759852,23032
"CAPZB","ENSG00000077549","1",19338775,19485539,832
"GNB1","ENSG00000078369","1",1785285,1891117,2782
"NRDC","ENSG00000078618","1",51789191,51878937,4898
"SDF4","ENSG00000078808","1",1216909,1232067,51150
"MKNK1","ENSG00000079277","1",46557407,46616843,8569
"CDC14A","ENSG00000079335","1",100345001,100520277,8556
"PGM1","ENSG00000079739","1",63593411,63660245,5236
"CROCCP3","ENSG00000080947","1",16467436,16499257,114819
"RSBN1","ENSG00000081019","1",113761832,113812476,54665
"MAGI3","ENSG00000081026","1",113390515,113685923,260425
"HSPB11","ENSG00000081870","1",53916574,53945699,51668
"PLOD1","ENSG00000083444","1",11934205,11975538,5351
"SMAP2","ENSG00000084070","1",40344850,40423326,64744
"PPIE","ENSG00000084072","1",39692182,39763914,10450
"ZMPSTE24","ENSG00000084073","1",40258041,40294180,10269
"EIF3I","ENSG00000084623","1",32221077,32245397,8668
"NKAIN1","ENSG00000084628","1",31179745,31239887,79570
"COL16A1","ENSG00000084636","1",31652263,31704319,1307
"TXLNA","ENSG00000084652","1",32179675,32198285,200081
"WDR47","ENSG00000085433","1",108970214,109042113,22911
"OVGP1","ENSG00000085465","1",111414319,111427735,5016
"SLC25A24","ENSG00000085491","1",108134043,108200849,29957
"EPS15","ENSG00000085832","1",51354263,51519266,2060
"POMGNT1","ENSG00000085998","1",46188682,46220305,55624
"RAD54L","ENSG00000085999","1",46246461,46278480,8438
"MAST2","ENSG00000086015","1",45786987,46036122,23139
"ALG6","ENSG00000088035","1",63367575,63438553,29929
"ASAP3","ENSG00000088280","1",23428563,23484568,55616
"SLC9A1","ENSG00000090020","1",27098809,27166981,6548
"NUDC","ENSG00000090273","1",26900238,26946871,10726
"MUL1","ENSG00000090432","1",20499448,20508151,79594
"PABPC4","ENSG00000090621","1",39560709,39576790,8761
"USP48","ENSG00000090686","1",21678298,21783606,84196
"PHGDH","ENSG00000092621","1",119648411,119744218,26227
"AGO1","ENSG00000092847","1",35869808,35930532,26523
"TEKT2","ENSG00000092850","1",36084094,36088275,27285
"ACOT7","ENSG00000097021","1",6264269,6393767,11332
"SH3GLB1","ENSG00000097033","1",86704570,86748184,51100
"CDC7","ENSG00000097046","1",91500851,91525764,8317
"PALMD","ENSG00000099260","1",99646113,99694541,54873
"DVL1","ENSG00000107404","1",1335276,1349418,1855
"BCL9","ENSG00000116128","1",147541501,147626216,607
"DHCR24","ENSG00000116133","1",54849627,54887195,1718
"DNAJC16","ENSG00000116138","1",15526813,15592379,23341
"MORN1","ENSG00000116151","1",2321253,2391707,79906
"GPX7","ENSG00000116157","1",52602371,52609051,2882
"SCP2","ENSG00000116171","1",52927276,53051698,6342
"CEP104","ENSG00000116198","1",3812086,3857396,9731
"TCEANC2","ENSG00000116205","1",54053584,54112519,127428
"TMEM59","ENSG00000116209","1",54026681,54053504,9528
"LRRC42","ENSG00000116212","1",53946085,53968168,115353
"WRAP73","ENSG00000116213","1",3630767,3652761,49856
"MRPL37","ENSG00000116221","1",54184041,54225464,51253
"ICMT","ENSG00000116237","1",6221193,6235972,23463
"RPL22","ENSG00000116251","1",6185020,6209389,6146
"CHD5","ENSG00000116254","1",6101787,6180321,26038
"STXBP3","ENSG00000116266","1",108746674,108809523,6814
"PHF13","ENSG00000116273","1",6613731,6624030,148479
"ERRFI1","ENSG00000116285","1",8004404,8026309,54206
"PARK7","ENSG00000116288","1",7954291,7985505,11315
"ELAPOR1","ENSG00000116299","1",109113679,109206781,57535
"AMPD2","ENSG00000116337","1",109616104,109632051,271
"SRSF4","ENSG00000116350","1",29147743,29181900,6429
"MECR","ENSG00000116353","1",29192657,29230942,51102
"KCNC4","ENSG00000116396","1",110210314,110283100,3749
"WDR77","ENSG00000116455","1",111439890,111449256,79084
"ATP5PB","ENSG00000116459","1",111448864,111462773,515
"RAP1A","ENSG00000116473","1",111542218,111716691,5906
"HDAC1","ENSG00000116478","1",32292083,32333635,3065
"CAPZA1","ENSG00000116489","1",112619805,112671616,829
"S100PBP","ENSG00000116497","1",32816767,32858875,64766
"RNF19B","ENSG00000116514","1",32936445,32964809,127544
"TRIM62","ENSG00000116525","1",33145399,33182059,55223
"DLGAP3","ENSG00000116544","1",34865436,34929650,58512
"SFPQ","ENSG00000116560","1",35176378,35193145,6421
"DOCK7","ENSG00000116641","1",62454298,62688386,85440
"SRM","ENSG00000116649","1",11054584,11060020,6723
"FBXO2","ENSG00000116661","1",11637018,11655785,26232
"FBXO6","ENSG00000116663","1",11664200,11674354,26270
"MAD2L2","ENSG00000116670","1",11674480,11691650,10459
"DNAJC6","ENSG00000116675","1",65248219,65415871,9829
"LEPR","ENSG00000116678","1",65420652,65641559,3953
"KIAA2013","ENSG00000116685","1",11919591,11926428,90231
"MFN2","ENSG00000116688","1",11980181,12015211,9927
"MIIP","ENSG00000116691","1",12019466,12032045,60672
"SLC35D1","ENSG00000116704","1",66999350,67054148,23169
"GADD45A","ENSG00000116717","1",67685201,67688334,1647
"WLS","ENSG00000116729","1",68098473,68233120,79971
"PRDM2","ENSG00000116731","1",13700198,13825079,7799
"BCAS2","ENSG00000116752","1",114567557,114581629,10286
"SRSF11","ENSG00000116754","1",70205682,70253052,9295
"CTH","ENSG00000116761","1",70411218,70439851,1491
"OLFML3","ENSG00000116774","1",113979391,114035572,56944
"TNNI3K","ENSG00000116783","1",74235387,74544428,51086
"PLEKHM2","ENSG00000116786","1",15684320,15734769,23207
"CRYZ","ENSG00000116791","1",74705482,74733408,1429
"PHTF1","ENSG00000116793","1",113696831,113759489,10745
"ZBTB17","ENSG00000116809","1",15941869,15976132,7709
"CD58","ENSG00000116815","1",116514534,116571039,965
"TFAP2E","ENSG00000116819","1",35573314,35595328,339488
"ADPRS","ENSG00000116863","1",36088892,36093932,54936
"MAP7D1","ENSG00000116871","1",36155579,36180849,55700
"WARS2","ENSG00000116874","1",119031216,119140654,10352
"OSCP1","ENSG00000116885","1",36415827,36450451,127700
"MRPS15","ENSG00000116898","1",36455718,36464384,64960
"C1orf109","ENSG00000116922","1",37681570,37692249,54955
"RRAGC","ENSG00000116954","1",38838198,38859772,64121
"HPCAL4","ENSG00000116983","1",39678648,39691485,51440
"BMP8B","ENSG00000116985","1",39757182,39788865,656
"RLF","ENSG00000117000","1",40161387,40240921,6018
"ZNF684","ENSG00000117010","1",40531573,40548167,127396
"KCNQ4","ENSG00000117013","1",40783787,40840452,9132
"RIMS3","ENSG00000117016","1",40620680,40665682,9783
"ACADM","ENSG00000117054","1",75724431,75787575,34
"ST6GALNAC5","ENSG00000117069","1",76867480,77067546,81849
"ADGRL2","ENSG00000117114","1",81306147,81992436,23266
"PADI2","ENSG00000117115","1",17066761,17119451,11240
"SDHB","ENSG00000117118","1",17018722,17054032,6390
"RPF1","ENSG00000117133","1",84479259,84498352,80135
"CTBS","ENSG00000117151","1",84549611,84574480,1486
"IGSF21","ENSG00000117154","1",18107798,18378483,84966
"SSX2IP","ENSG00000117155","1",84643706,84690803,117178
"ZNHIT6","ENSG00000117174","1",85649417,85708433,54680
"GBP3","ENSG00000117226","1",89006679,89022894,2635
"GBP1","ENSG00000117228","1",89051882,89065360,2633
"PINK1-AS","ENSG00000117242","1",20642657,20652193,100861548
"KIF17","ENSG00000117245","1",20664014,20718017,57576
"GPR89A","ENSG00000117262","1",145607988,145670650,653519
"ECE1","ENSG00000117298","1",21217247,21345572,1889
"HMGCL","ENSG00000117305","1",23801885,23838620,3155
"GALE","ENSG00000117308","1",23795599,23800781,2582
"ID3","ENSG00000117318","1",23557926,23559501,3399
"PRPF3","ENSG00000117360","1",150321479,150353233,9129
"APH1A","ENSG00000117362","1",150265399,150269580,51107
"P3H1","ENSG00000117385","1",42746335,42767084,64175
"SLC2A1","ENSG00000117394","1",42925353,42958893,6513
"EBNA1BP2","ENSG00000117395","1",43164175,43270936,10969
"IPO13","ENSG00000117408","1",43946950,43968022,9670
"ATP6V0B","ENSG00000117410","1",43974487,43978295,533
"B4GALT2","ENSG00000117411","1",43978943,43991170,8704
"ERI3","ENSG00000117419","1",44221070,44355260,79033
"PTCH2","ENSG00000117425","1",44819844,44843253,8643
"AKR1A1","ENSG00000117448","1",45550543,45570049,10327
"PRDX1","ENSG00000117450","1",45510914,45542732,5052
"PIK3R3","ENSG00000117461","1",46040140,46133036,8503
"FAAH","ENSG00000117480","1",46394317,46413848,2166
"NSUN4","ENSG00000117481","1",46340177,46365152,387338
"TMED5","ENSG00000117500","1",93149742,93180516,50999
"DR1","ENSG00000117505","1",93345907,93369493,1810
"CNN3","ENSG00000117519","1",94896949,94927223,1266
"F3","ENSG00000117525","1",94529173,94541759,2152
"ABCD3","ENSG00000117528","1",94418389,94518666,5825
"DPH5","ENSG00000117543","1",100989623,101026088,51611
"PTBP2","ENSG00000117569","1",96721665,96823738,58155
"PLPPR5","ENSG00000117598","1",98890245,99005032,163404
"PLPPR4","ENSG00000117600","1",99263953,99309590,9890
"RCAN3","ENSG00000117602","1",24502351,24541040,11123
"SYF2","ENSG00000117614","1",25222276,25232502,25949
"RSRP1","ENSG00000117616","1",25242249,25338213,57035
"SLC35A3","ENSG00000117620","1",99969351,100035634,23443
"STMN1","ENSG00000117632","1",25884181,25906991,3925
"MTFR1L","ENSG00000117640","1",25818640,25832942,56181
"MAN1C1","ENSG00000117643","1",25616791,25786206,57134
"RPS6KA1","ENSG00000117676","1",26529761,26575030,6195
"DHDDS","ENSG00000117682","1",26432282,26471306,79947
"ARID1A","ENSG00000117713","1",26693236,26782104,8289
"RPA2","ENSG00000117748","1",27891524,27914746,6118
"PPP1R8","ENSG00000117751","1",27830782,27851676,5511
"STX12","ENSG00000117758","1",27773219,27824443,23673
"OSBPL9","ENSG00000117859","1",51577179,51798427,114883
"TXNDC12","ENSG00000117862","1",52020131,52055191,51060
"C1orf54","ENSG00000118292","1",150268200,150280916,79630
"CA14","ENSG00000118298","1",150257251,150265078,23632
"ANKRD13C","ENSG00000118454","1",70258999,70354734,81573
"SGIP1","ENSG00000118473","1",66533383,66751139,84251
"DCLRE1B","ENSG00000118655","1",113905213,113914086,64858
"CASQ2","ENSG00000118729","1",115700021,115768714,845
"OLFM3","ENSG00000118733","1",101802560,101996926,118427
"CSF3R","ENSG00000119535","1",36466043,36483278,1441
"TAF12","ENSG00000120656","1",28589323,28643085,6883
"UBIAD1","ENSG00000120942","1",11273198,11296049,29914
"TARDBP","ENSG00000120948","1",11012344,11030528,23435
"ECHDC2","ENSG00000121310","1",52895910,52927212,55268
"ADGRB2","ENSG00000121753","1",31727117,31764893,576
"ZCCHC17","ENSG00000121766","1",31296982,31364953,51538
"FABP3","ENSG00000121769","1",31365253,31376850,2170
"KHDRBS1","ENSG00000121774","1",32013868,32060850,10657
"TMEM39B","ENSG00000121775","1",32072031,32102866,55116
"POLR3GL","ENSG00000121851","1",145964690,145978848,84265
"TMEM54","ENSG00000121900","1",32894594,32901438,113452
"CSMD2","ENSG00000121904","1",33513999,34165842,114784
"HPCA","ENSG00000121905","1",32885994,32898441,3208
"LRIF1","ENSG00000121931","1",110947190,110963965,55791
"TMIGD3","ENSG00000121933","1",111483348,111563962,57413
"CLCC1","ENSG00000121940","1",108927361,108963504,23155
"GPSM2","ENSG00000121957","1",108875350,108934545,29899
"RPL5","ENSG00000122406","1",92832013,92841924,6125
"ODF2L","ENSG00000122417","1",86346824,86396342,57489
"TRMT13","ENSG00000122435","1",100133150,100150498,54482
"LRRC39","ENSG00000122477","1",100148448,100178273,127495
"RWDD3","ENSG00000122481","1",95234210,95247225,25950
"ZNF644","ENSG00000122482","1",90915298,91022272,84146
"RPAP2","ENSG00000122484","1",92299059,92402056,79871
"CDKN2C","ENSG00000123080","1",50960745,50974634,1031
"RNF11","ENSG00000123091","1",51236273,51273447,26994
"ATPAF1","ENSG00000123472","1",46632737,46673867,64756
"ATG4C","ENSG00000125703","1",62784132,62865516,84938
"HNRNPR","ENSG00000125944","1",23303771,23344336,10236
"ZNF436","ENSG00000125945","1",23359448,23369836,80818
"PSMB2","ENSG00000126067","1",35599541,35641526,5690
"AGO3","ENSG00000126070","1",35930718,36072500,192669
"UROD","ENSG00000126088","1",45010950,45015575,7389
"ST3GAL3","ENSG00000126091","1",43705824,43931165,6487
"TMEM53","ENSG00000126106","1",44635238,44674481,79639
"HECTD3","ENSG00000126107","1",45002540,45011324,79654
"DNAJC8","ENSG00000126698","1",28199456,28233029,22826
"AHDC1","ENSG00000126705","1",27534035,27604431,27245
"IFI6","ENSG00000126709","1",27666064,27672212,2537
"INTS11","ENSG00000127054","1",1311585,1324687,54973
"HIVEP3","ENSG00000127124","1",41506365,42035925,59269
"PPCS","ENSG00000127125","1",42456117,42473385,79717
"EMC1","ENSG00000127463","1",19215660,19251527,23065
"PLA2G5","ENSG00000127472","1",20028179,20091911,5322
"UBR4","ENSG00000127481","1",19074510,19210266,23352
"HP1BP3","ENSG00000127483","1",20740266,20787323,50809
"MACF1","ENSG00000127603","1",39081316,39487177,23499
"CEP85","ENSG00000130695","1",26234200,26278808,64793
"ARHGEF16","ENSG00000130762","1",3454665,3481113,27237
"LRRC47","ENSG00000130764","1",3778559,3796498,57470
"SESN2","ENSG00000130766","1",28259518,28282491,83667
"ATP5IF1","ENSG00000130770","1",28236109,28246906,93974
"MED18","ENSG00000130772","1",28329002,28335965,54797
"THEMIS2","ENSG00000130775","1",27872543,27886685,9473
"UBE4B","ENSG00000130939","1",10032832,10181239,10277
"CAP1","ENSG00000131236","1",40040233,40072649,10487
"PPT1","ENSG00000131238","1",40072710,40097260,5538
"ACAP3","ENSG00000131584","1",1292390,1309609,116983
"C1orf159","ENSG00000131591","1",1081818,1116361,54991
"NPHP4","ENSG00000131697","1",5862811,5992473,261734
"CHD1L","ENSG00000131778","1",147242654,147295765,9557
"PEX11B","ENSG00000131779","1",145911350,145918717,8799
"FMO5","ENSG00000131781","1",147175351,147243050,2330
"PIAS3","ENSG00000131788","1",145848522,145859836,10401
"PRKAB2","ENSG00000131791","1",147155106,147172550,5565
"SPATA6","ENSG00000132122","1",48295373,48472208,54558
"LRRC41","ENSG00000132128","1",46261196,46303616,10489
"ZRANB2","ENSG00000132485","1",71063291,71081289,9406
"MMACHC","ENSG00000132763","1",45500300,45513382,25974
"DPH2","ENSG00000132768","1",43970000,43973369,1802
"TOE1","ENSG00000132773","1",45340052,45343973,114034
"NASP","ENSG00000132780","1",45583846,45618904,4678
"MUTYH","ENSG00000132781","1",45329163,45340893,4595
"PATJ","ENSG00000132849","1",61742477,62178675,10207
"FBXO44","ENSG00000132879","1",11654375,11663327,93611
"CPLANE2","ENSG00000132881","1",16231692,16237183,79363
"CASP9","ENSG00000132906","1",15490832,15526534,842
"EPHB2","ENSG00000133216","1",22710839,22921500,2048
"SRRM1","ENSG00000133226","1",24631716,24673281,10250
"GSTM1","ENSG00000134184","1",109687814,109709039,2944
"PRPF38B","ENSG00000134186","1",108692310,108702928,55119
"GSTM5","ENSG00000134201","1",109711780,109775428,2949
"GSTM3","ENSG00000134202","1",109733932,109741038,2947
"SYT6","ENSG00000134207","1",114089291,114153880,148281
"VAV3","ENSG00000134215","1",107571161,107965180,10451
"PSRC1","ENSG00000134222","1",109279556,109283186,84722
"SORT1","ENSG00000134243","1",109309568,109397918,6272
"WNT2B","ENSG00000134245","1",112466541,112530165,7482
"PTGFRN","ENSG00000134247","1",116909916,116990353,5738
"LAMTOR5","ENSG00000134248","1",110401249,110407942,10542
"NOTCH2","ENSG00000134250","1",119911553,120100779,4853
"TRIM45","ENSG00000134253","1",117111060,117122587,80263
"CEPT1","ENSG00000134255","1",111139627,111185104,10390
"AP4B1","ENSG00000134262","1",113894194,113905201,10717
"PUM1","ENSG00000134644","1",30931506,31065991,9698
"YARS1","ENSG00000134684","1",32775237,32817380,8565
"PHC2","ENSG00000134686","1",33323623,33431052,1912
"GNL2","ENSG00000134697","1",37566816,37595937,29889
"AGO4","ENSG00000134698","1",35808016,35857890,192670
"HOOK1","ENSG00000134709","1",59814786,59876322,51361
"CYP2J2","ENSG00000134716","1",59893308,59926773,1573
"BTF3L4","ENSG00000134717","1",52056199,52090716,91408
"TUT4","ENSG00000134744","1",52408282,52553487,23318
"PRPF38A","ENSG00000134748","1",52404602,52420836,84950
"VPS45","ENSG00000136631","1",150067279,150145329,11311
"BCAR3","ENSG00000137936","1",93561741,93847150,8412
"BCAR3","ENSG00000137936","1",93561741,93847150,723788
"TTLL7","ENSG00000137941","1",83865024,83999150,79739
"FNBP1L","ENSG00000137942","1",93448118,93554661,54874
"KYAT3","ENSG00000137944","1",88935773,88992953,56267
"GTF2B","ENSG00000137947","1",88852633,88891944,2959
"RABGGTB","ENSG00000137955","1",75786197,75795086,5876
"IFI44L","ENSG00000137959","1",78619902,78646145,10964
"ARHGAP29","ENSG00000137962","1",94148988,94275068,9411
"IFI44","ENSG00000137965","1",78649796,78664078,10561
"RPL7P9","ENSG00000137970","1",96678874,96679620,NA
"DBT","ENSG00000137992","1",100186919,100249834,1629
"RTCA","ENSG00000137996","1",100266216,100292769,8634
"SLC2A5","ENSG00000142583","1",9035106,9088478,6518
"RERE","ENSG00000142599","1",8352397,8848921,473
"CFAP74","ENSG00000142609","1",1921951,2003837,85452
"PRDM16","ENSG00000142611","1",3069168,3438621,63976
"EPHA2","ENSG00000142627","1",16124337,16156069,1969
"EFHD2","ENSG00000142634","1",15409888,15430339,79180
"PEX14","ENSG00000142655","1",10472288,10630758,5195
"PGD","ENSG00000142657","1",10398592,10420511,5226
"SH3BGRL3","ENSG00000142669","1",26280086,26281522,83442
"CNKSR1","ENSG00000142675","1",26177484,26189884,10256
"RPL11","ENSG00000142676","1",23691742,23696835,6135
"C1orf216","ENSG00000142686","1",35713877,35718894,127703
"KIAA0319L","ENSG00000142687","1",35433492,35557950,79932
"EVA1B","ENSG00000142694","1",36322031,36324154,55194
"MAP3K6","ENSG00000142733","1",27354067,27366961,9064
"GPN2","ENSG00000142751","1",26876132,26890283,54707
"SYTL1","ENSG00000142765","1",27342020,27353937,84958
"WDTC1","ENSG00000142784","1",27234632,27308636,23038
"NBPF3","ENSG00000142794","1",21440128,21485005,84224
"HSPG2","ENSG00000142798","1",21822244,21937310,3339
"ITGB3BP","ENSG00000142856","1",63440770,63593721,23421
"SERBP1","ENSG00000142864","1",67407810,67430415,26135
"BCL10","ENSG00000142867","1",85265776,85276632,8915
"CCN1","ENSG00000142871","1",85580761,85584589,3491
"PRKACB","ENSG00000142875","1",84078062,84238498,5567
"PIGK","ENSG00000142892","1",77088989,77219430,10026
"TINAGL1","ENSG00000142910","1",31576485,31587686,64129
"AZIN2","ENSG00000142920","1",33081104,33123492,113451
"RPS8","ENSG00000142937","1",44775251,44778779,6202
"PTPRF","ENSG00000142949","1",43525187,43623666,5792
"BEST4","ENSG00000142959","1",44783585,44788170,266675
"MOB3C","ENSG00000142961","1",46607715,46616884,148932
"LMO4","ENSG00000143013","1",87328880,87348923,8543
"MTF2","ENSG00000143033","1",93079235,93139079,22823
"SLC44A3","ENSG00000143036","1",94820342,94895246,126969
"IGSF3","ENSG00000143061","1",116574399,116667755,3321
"ZNF697","ENSG00000143067","1",119619377,119648266,90874
"CTTNBP2NL","ENSG00000143079","1",112396214,112463456,55917
"STRIP1","ENSG00000143093","1",110031577,110074641,85369
"PSMA5","ENSG00000143106","1",109399042,109426448,5686
"C1orf162","ENSG00000143110","1",111473792,111478512,128346
"CD53","ENSG00000143119","1",110871188,110899922,963
"CELSR2","ENSG00000143126","1",109249539,109275751,1952
"ITGA10","ENSG00000143127","1",145891208,145910111,8515
"PRUNE1","ENSG00000143363","1",151008420,151035713,58497
"TUFT1","ENSG00000143367","1",151540305,151583583,7286
"SF3B4","ENSG00000143368","1",149923317,149927803,10262
"ECM1","ENSG00000143369","1",150508062,150513789,1893
"ZNF687","ENSG00000143373","1",151281618,151292176,57592
"TARS2","ENSG00000143374","1",150487364,150507609,80222
"CGN","ENSG00000143375","1",151510510,151538692,57530
"SNX27","ENSG00000143376","1",151612006,151699091,81609
"SETDB1","ENSG00000143379","1",150926263,150964744,9869
"MCL1","ENSG00000143384","1",150560895,150579738,4170
"MCL1","ENSG00000143384","1",150560895,150579738,574406
"CTSK","ENSG00000143387","1",150794880,150809577,1513
"RFX5","ENSG00000143390","1",151340640,151347326,5993
"PI4KB","ENSG00000143393","1",151291797,151327715,5298
"PIP5K1A","ENSG00000143398","1",151197949,151249536,8394
"ANP32E","ENSG00000143401","1",150218417,150236156,81611
"MINDY1","ENSG00000143409","1",150996086,151008375,55793
"ANXA9","ENSG00000143412","1",150982249,150995634,8416
"SELENBP1","ENSG00000143416","1",151364304,151372707,8991
"CERS2","ENSG00000143418","1",150960583,150975003,29956
"ENSA","ENSG00000143420","1",150600851,150629612,2029
"SEMA6C","ENSG00000143434","1",151131685,151146664,10500
"MRPL9","ENSG00000143436","1",151759647,151763496,65005
"ARNT","ENSG00000143437","1",150809713,150876708,405
"POGZ","ENSG00000143442","1",151402724,151459494,23126
"C1orf56","ENSG00000143443","1",151047751,151051986,54964
"GOLPH3L","ENSG00000143457","1",150646230,150697154,55204
"GABPB2","ENSG00000143458","1",151070578,151125542,126626
"ZMYM4","ENSG00000146463","1",35268709,35422058,9202
"PLCH2","ENSG00000149527","1",2425980,2505532,9651
"FCGR1A","ENSG00000150337","1",149782671,149791675,2209
"TLCD4","ENSG00000152078","1",95117355,95197607,148534
"TCTEX1D1","ENSG00000152760","1",66752459,66779047,200132
"DDAH1","ENSG00000153904","1",85318481,85578363,23576
"HS2ST1","ENSG00000153936","1",86914635,87109982,9653
"AK5","ENSG00000154027","1",77282019,77559966,26289
"CC2D1B","ENSG00000154222","1",52345723,52366205,200014
"DIPK1A","ENSG00000154511","1",92832737,92961522,388650
"MOV10","ENSG00000155363","1",112673141,112700746,4343
"RHOC","ENSG00000155366","1",112701127,112707434,389
"PPM1J","ENSG00000155367","1",112709994,112715477,333926
"SLC16A1","ENSG00000155380","1",112911847,112957593,6566
"GPR61","ENSG00000156097","1",109539872,109548406,83873
"DRAM2","ENSG00000156171","1",111117163,111140203,128338
"MFSD14A","ENSG00000156875","1",100038095,100083377,64645
"SASS6","ENSG00000156876","1",100083563,100132955,163786
"ZFYVE9","ENSG00000157077","1",52142089,52348671,9372
"CPT2","ENSG00000157184","1",53196792,53214197,1376
"NECAP2","ENSG00000157191","1",16440721,16460078,55707
"LRP8","ENSG00000157193","1",53242364,53328469,7804
"SSBP3","ENSG00000157216","1",54225433,54413479,23648
"PRXL2B","ENSG00000157870","1",2586491,2591469,127281
"TNFRSF14","ENSG00000157873","1",2555639,2565382,8764
"PANK4","ENSG00000157881","1",2508537,2526597,55229
"PEX10","ENSG00000157911","1",2403964,2413797,5192
"RER1","ENSG00000157916","1",2391775,2405442,11079
"SKI","ENSG00000157933","1",2228319,2310213,6497
"LDLRAP1","ENSG00000157978","1",25543606,25568886,26119
"PAFAH2","ENSG00000158006","1",25959767,25998117,5051
"EXTL1","ENSG00000158008","1",26019884,26036464,2134
"UBXN11","ENSG00000158062","1",26281328,26318363,91544
"TPRG1L","ENSG00000158109","1",3625015,3630127,127262
"XKR8","ENSG00000158156","1",27959588,27968093,55113
"EYA3","ENSG00000158161","1",27970344,28088637,2140
"WASF2","ENSG00000158195","1",27404230,27490167,10163
